PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1004911400,Manhattan,10013,Chinatown,907
1004911401,Manhattan,10013,Chinatown,907
1004911402,Manhattan,10013,Chinatown,907
1004911403,Manhattan,10013,Chinatown,907
1004911404,Manhattan,10013,Chinatown,907
1004911405,Manhattan,10013,Chinatown,907
1004911406,Manhattan,10013,Chinatown,907
1004911407,Manhattan,10013,Chinatown,907
1004911408,Manhattan,10013,Chinatown,907
1004911409,Manhattan,10013,Chinatown,907
1004911410,Manhattan,10013,Chinatown,907
1004911411,Manhattan,10013,Chinatown,907
1004911412,Manhattan,10013,Chinatown,907
1004911413,Manhattan,10013,Chinatown,907
1004911414,Manhattan,10013,Chinatown,907
1004911415,Manhattan,10013,Chinatown,907
1004911416,Manhattan,10013,Chinatown,907
1004911417,Manhattan,10013,Chinatown,907
1004911418,Manhattan,10013,Chinatown,907
1004911419,Manhattan,10013,Chinatown,907
1004911420,Manhattan,10013,Chinatown,907
1004911421,Manhattan,10013,Chinatown,907
1004911422,Manhattan,10013,Chinatown,907
1004911423,Manhattan,10013,Chinatown,907
1004911424,Manhattan,10013,Chinatown,907
1004911425,Manhattan,10013,Chinatown,907
1004911426,Manhattan,10013,Chinatown,907
1004911427,Manhattan,10013,Chinatown,907
1004911428,Manhattan,10013,Chinatown,907
1004911429,Manhattan,10013,Chinatown,907
1004911430,Manhattan,10013,Chinatown,907
1004911431,Manhattan,10013,Chinatown,907
1004911432,Manhattan,10013,Chinatown,907
1004911433,Manhattan,10013,Chinatown,907
1004911434,Manhattan,10013,Chinatown,907
1004911435,Manhattan,10013,Chinatown,907
1004911436,Manhattan,10013,Chinatown,907
1004911437,Manhattan,10013,Chinatown,907
1004911438,Manhattan,10013,Chinatown,907
1004911439,Manhattan,10013,Chinatown,907
1004911440,Manhattan,10013,Chinatown,907
1004911441,Manhattan,10013,Chinatown,907
1004911442,Manhattan,10013,Chinatown,907
1004911443,Manhattan,10013,Chinatown,907
1004911444,Manhattan,10013,Chinatown,907
1004911445,Manhattan,10013,Chinatown,907
1004911446,Manhattan,10013,Chinatown,907
1004911447,Manhattan,10013,Chinatown,907
1004911448,Manhattan,10013,Chinatown,907
1004911449,Manhattan,10013,Chinatown,907
1004911450,Manhattan,10013,Chinatown,907
1004911451,Manhattan,10013,Chinatown,907
1004911452,Manhattan,10013,Chinatown,907
1004911453,Manhattan,10013,Chinatown,907
1004911454,Manhattan,10013,Chinatown,907
1004911455,Manhattan,10013,Chinatown,907
1004911456,Manhattan,10013,Chinatown,907
1004911457,Manhattan,10013,Chinatown,907
1004911458,Manhattan,10013,Chinatown,907
1004911459,Manhattan,10013,Chinatown,907
1004911460,Manhattan,10013,Chinatown,907
1004911461,Manhattan,10013,Chinatown,907
1004911462,Manhattan,10013,Chinatown,907
1004911463,Manhattan,10013,Chinatown,907
1004911464,Manhattan,10013,Chinatown,907
1004911465,Manhattan,10013,Chinatown,907
1004911466,Manhattan,10013,Chinatown,907
1004911467,Manhattan,10013,Chinatown,907
1004911468,Manhattan,10013,Chinatown,907
1004911469,Manhattan,10013,Chinatown,907
1004911470,Manhattan,10013,Chinatown,907
1004911471,Manhattan,10013,Chinatown,907
1004911472,Manhattan,10013,Chinatown,907
1004911473,Manhattan,10013,Chinatown,907
1004911474,Manhattan,10013,Chinatown,907
1004911475,Manhattan,10013,Chinatown,907
1004911476,Manhattan,10013,Chinatown,907
1004911477,Manhattan,10013,Chinatown,907
1004911478,Manhattan,10013,Chinatown,907
1004911479,Manhattan,10013,Chinatown,907
1004911480,Manhattan,10013,Chinatown,907
1004911481,Manhattan,10013,Chinatown,907
1004911482,Manhattan,10013,Chinatown,907
1004911483,Manhattan,10013,Chinatown,907
1004911484,Manhattan,10013,Chinatown,907
1004911485,Manhattan,10013,Chinatown,907
1004911486,Manhattan,10013,Chinatown,907
1004911487,Manhattan,10013,Chinatown,907
1004911488,Manhattan,10013,Chinatown,907
1004911489,Manhattan,10013,Chinatown,907
1004911490,Manhattan,10013,Chinatown,907
1004911491,Manhattan,10013,Chinatown,907
1004911492,Manhattan,10013,Chinatown,907
1004911493,Manhattan,10013,Chinatown,907
1004911494,Manhattan,10013,Chinatown,907
1004911495,Manhattan,10013,Chinatown,907
1004911496,Manhattan,10013,Chinatown,907
1004911497,Manhattan,10013,Chinatown,907
1004911498,Manhattan,10013,Chinatown,907
1004911499,Manhattan,10013,Chinatown,907
1004911500,Manhattan,10013,Chinatown,907
1004911501,Manhattan,10013,Chinatown,907
1004911502,Manhattan,10013,Chinatown,907
1004911503,Manhattan,10013,Chinatown,907
1004911504,Manhattan,10013,Chinatown,907
1005500027,Manhattan,10003,East Village,76
1004911505,Manhattan,10013,Chinatown,907
1004911506,Manhattan,10013,Chinatown,907
1004911507,Manhattan,10013,Chinatown,907
1004911508,Manhattan,10013,Chinatown,907
1004911509,Manhattan,10013,Chinatown,907
1004911510,Manhattan,10013,Chinatown,907
1004911511,Manhattan,10013,Chinatown,907
1004911512,Manhattan,10013,Chinatown,907
1004911513,Manhattan,10013,Chinatown,907
1004911514,Manhattan,10013,Chinatown,907
1004911515,Manhattan,10013,Chinatown,907
1004911516,Manhattan,10013,Chinatown,907
1004911517,Manhattan,10013,Chinatown,907
1004911518,Manhattan,10013,Chinatown,907
1004911519,Manhattan,10013,Chinatown,907
1004911520,Manhattan,10013,Chinatown,907
1004911521,Manhattan,10013,Chinatown,907
1004911522,Manhattan,10013,Chinatown,907
1004911523,Manhattan,10013,Chinatown,907
1004911524,Manhattan,10013,Chinatown,907
1004911525,Manhattan,10013,Chinatown,907
1004911526,Manhattan,10013,Chinatown,907
1004911527,Manhattan,10013,Chinatown,907
1004911528,Manhattan,10013,Chinatown,907
1004911529,Manhattan,10013,Chinatown,907
1004911530,Manhattan,10013,Chinatown,907
1004911531,Manhattan,10013,Chinatown,907
1004911532,Manhattan,10013,Chinatown,907
1004911533,Manhattan,10013,Chinatown,907
1004911534,Manhattan,10013,Chinatown,907
1004911535,Manhattan,10013,Chinatown,907
1004911536,Manhattan,10013,Chinatown,907
1004911537,Manhattan,10013,Chinatown,907
1004911538,Manhattan,10013,Chinatown,907
1004911539,Manhattan,10013,Chinatown,907
1004911540,Manhattan,10013,Chinatown,907
1004911541,Manhattan,10013,Chinatown,907
1004911542,Manhattan,10013,Chinatown,907
1004911543,Manhattan,10013,Chinatown,907
1004911544,Manhattan,10013,Chinatown,907
1004911545,Manhattan,10013,Chinatown,907
1004911546,Manhattan,10013,Chinatown,907
1004911547,Manhattan,10013,Chinatown,907
1004911548,Manhattan,10013,Chinatown,907
1004911549,Manhattan,10013,Chinatown,907
1004911550,Manhattan,10013,Chinatown,907
1004911551,Manhattan,10013,Chinatown,907
1004911552,Manhattan,10013,Chinatown,907
1004911553,Manhattan,10013,Chinatown,907
1004911554,Manhattan,10013,Chinatown,907
1004911555,Manhattan,10013,Chinatown,907
1004911556,Manhattan,10013,Chinatown,907
1004911557,Manhattan,10013,Chinatown,907
1004911558,Manhattan,10013,Chinatown,907
1004911559,Manhattan,10013,Chinatown,907
1004911560,Manhattan,10013,Chinatown,907
1004911561,Manhattan,10013,Chinatown,907
1004911562,Manhattan,10013,Chinatown,907
1004911563,Manhattan,10013,Chinatown,907
1004911564,Manhattan,10013,Chinatown,907
1004911565,Manhattan,10013,Chinatown,907
1004911566,Manhattan,10013,Chinatown,907
1004911567,Manhattan,10013,Chinatown,907
1004911568,Manhattan,10013,Chinatown,907
1004911569,Manhattan,10013,Chinatown,907
1004911570,Manhattan,10013,Chinatown,907
1004911571,Manhattan,10013,Chinatown,907
1004911572,Manhattan,10013,Chinatown,907
1004911573,Manhattan,10013,Chinatown,907
1004911574,Manhattan,10013,Chinatown,907
1004911575,Manhattan,10013,Chinatown,907
1004911576,Manhattan,10013,Chinatown,907
1004911577,Manhattan,10013,Chinatown,907
1004911578,Manhattan,10013,Chinatown,907
1004911579,Manhattan,10013,Chinatown,907
1004911580,Manhattan,10013,Chinatown,907
1004911581,Manhattan,10013,Chinatown,907
1004911582,Manhattan,10013,Chinatown,907
1004911583,Manhattan,10013,Chinatown,907
1004911584,Manhattan,10013,Chinatown,907
1004911585,Manhattan,10013,Chinatown,907
1004911586,Manhattan,10013,Chinatown,907
1004911587,Manhattan,10013,Chinatown,907
1004911588,Manhattan,10013,Chinatown,907
1004911589,Manhattan,10013,Chinatown,907
1004911590,Manhattan,10013,Chinatown,907
1004911591,Manhattan,10013,Chinatown,907
1004920025,Manhattan,10012,Greenwich Village,48
1004960001,Manhattan,10012,Greenwich Village,48
1005130035,Manhattan,10012,Greenwich Village,48
1005300036,Manhattan,10012,Greenwich Village,48
1005320008,Manhattan,10012,Greenwich Village,48
1005330001,Manhattan,10012,Greenwich Village,48
1005400014,Manhattan,10012,Greenwich Village,48
1005460001,Manhattan,10003,East Village,76
1005460015,Manhattan,10003,East Village,76
1005480004,Manhattan,10003,East Village,76
1005500029,Manhattan,10003,East Village,76
1005500030,Manhattan,10003,East Village,76
1005500032,Manhattan,10003,East Village,76
1005520024,Manhattan,10011,Chelsea,185
1005520026,Manhattan,10011,Chelsea,185
1005520060,Manhattan,10011,Chelsea,185
1005531202,Manhattan,10011,Chelsea,185
1005560016,Manhattan,10003,East Village,76
1005560048,Manhattan,10003,East Village,76
1005580037,Manhattan,10003,East Village,76
1005590012,Manhattan,10003,East Village,76
1005590022,Manhattan,10003,East Village,76
1005620030,Manhattan,10003,East Village,76
1005640045,Manhattan,10003,East Village,76
1005680001,Manhattan,10003,East Village,76
1005710001,Manhattan,10003,East Village,76
1005720045,Manhattan,10011,Chelsea,185
1005750064,Manhattan,10011,Chelsea,185
1005760014,Manhattan,10011,Chelsea,185
1005770015,Manhattan,10011,Chelsea,185
1005800015,Manhattan,10014,Greenwich Village,48
1005800063,Manhattan,10014,Greenwich Village,48
1005940115,Manhattan,10013,Chinatown,907
1005970005,Manhattan,10013,Chinatown,907
1006030046,Manhattan,10014,Greenwich Village,48
1006040001,Manhattan,10014,Greenwich Village,48
1006080029,Manhattan,10011,Chelsea,185
1006230051,Manhattan,10014,Greenwich Village,48
1006250054,Manhattan,10014,Greenwich Village,48
